日付,レースキー,hitmark,購入馬,単勝配当,レース毎配当,レース毎損益,累積損益
20210105,6211103,0,2,260,0,-200,-200
20210105,7211105,0,2,230,0,-200,-400
20210109,6211203,0,1,450,0,-100,-500
20210109,6211205,1,3,380,380,80,-420
20210109,7211204,0,4,1210,0,-400,-820
20210109,7211206,0,3,360,0,-300,-1120
20210110,6211306,0,1,590,0,-100,-1220
20210110,7211304,0,0,220,0,0,-1220
20210110,7211306,0,2,2280,0,-200,-1420
20210111,6211404,0,1,1580,0,-100,-1520
20210111,6211406,0,1,1650,0,-100,-1620
20210111,7211404,0,1,190,0,-100,-1720
20210116,6211504,0,1,310,0,-100,-1820
20210116,6211506,0,6,170,0,-600,-2420
20210116,7211506,0,3,590,0,-300,-2720
20210117,10211205,0,3,830,0,-300,-3020
20210117,6211604,0,1,1330,0,-100,-3120
20210117,7211604,0,1,450,0,-100,-3220
20210123,6211704,0,1,240,0,-100,-3320
20210123,6211706,0,1,270,0,-100,-3420
20210123,7211703,0,1,300,0,-100,-3520
20210124,10211405,1,5,920,920,420,-3100
20210124,6211806,0,2,640,0,-200,-3300
20210124,7211803,1,4,240,240,-160,-3460
20210124,7211806,0,2,660,0,-200,-3660
20210130,5211102,0,2,1030,0,-200,-3860
20210130,5211106,0,2,270,0,-200,-4060
20210130,7211904,0,1,810,0,-100,-4160
20210131,07211a06,0,3,270,0,-300,-4460
20210131,10211605,0,2,360,0,-200,-4660
20210131,5211206,0,1,290,0,-100,-4760
20210206,07211b04,0,1,260,0,-100,-4860
20210206,5211304,0,1,400,0,-100,-4960
20210206,5211306,0,3,320,0,-300,-5260
20210207,07211c06,1,3,730,730,430,-4830
20210207,10211805,0,1,190,0,-100,-4930
20210207,5211406,0,0,17840,0,0,-4930
20210213,5211503,0,0,650,0,0,-4930
20210213,9211104,0,4,190,0,-400,-5330
20210214,5211602,0,5,550,0,-500,-5830
20210214,9211204,1,4,2610,2610,2210,-3620
20210220,5211702,0,7,360,0,-700,-4320
20210220,9211304,0,3,1930,0,-300,-4620
20210221,5211803,0,2,1190,0,-200,-4820
20210221,9211404,0,2,8070,0,-200,-5020
20210605,5213105,0,1,110,0,-100,-5120
20210605,7214105,0,1,3020,0,-100,-5220
20210606,5213205,0,0,430,0,0,-5220
20210606,5213206,0,0,550,0,0,-5220
20210606,7214205,0,0,1400,0,0,-5220
20210612,1211105,0,0,630,0,0,-5220
20210612,5213305,0,2,450,0,-200,-5420
20210612,7214305,0,0,270,0,0,-5420
20210613,1211205,0,3,4380,0,-300,-5720
20210613,5213405,0,1,230,0,-100,-5820
20210613,7214405,0,0,280,0,0,-5820
20210619,1211305,0,6,710,0,-600,-6420
20210619,1211306,0,4,180,0,-400,-6820
20210619,5213505,0,3,180,0,-300,-7120
20210619,9213105,0,1,200,0,-100,-7220
20210620,1211405,0,3,420,0,-300,-7520
20210620,5213605,0,1,550,0,-100,-7620
20210620,9213205,0,0,130,0,0,-7620
20210626,1211505,0,1,440,0,-100,-7720
20210626,5213705,0,0,450,0,0,-7720
20210626,9213305,1,2,4350,4350,4150,-3570
20210627,1211605,1,3,3090,3090,2790,-780
20210627,5213805,0,2,350,0,-200,-980
20210627,5213806,0,1,230,0,-100,-1080
20210627,9213405,0,1,220,0,-100,-1180
20210703,10213105,0,1,320,0,-100,-1280
20210703,10213106,0,1,930,0,-100,-1380
20210703,2211105,0,2,490,0,-200,-1580
20210703,3211105,0,3,200,0,-300,-1880
20210703,3211106,0,2,1580,0,-200,-2080
20210704,10213205,0,0,110,0,0,-2080
20210704,10213206,0,0,170,0,0,-2080
20210704,2211205,0,1,270,0,-100,-2180
20210704,3211205,0,0,360,0,0,-2180
20210704,3211206,0,1,280,0,-100,-2280
20210710,10213305,0,1,180,0,-100,-2380
20210710,2211305,0,2,1260,0,-200,-2580
20210710,3211305,0,1,290,0,-100,-2680
20210710,3211306,0,2,430,0,-200,-2880
20210711,10213405,0,1,700,0,-100,-2980
20210711,10213406,0,2,310,0,-200,-3180
20210711,2211405,0,2,2760,0,-200,-3380
20210711,3211405,1,2,580,580,380,-3000
20210711,3211406,0,3,410,0,-300,-3300
20210717,10213505,0,0,210,0,0,-3300
20210717,10213506,0,3,150,0,-300,-3600
20210717,2211505,0,0,140,0,0,-3600
20210717,3211505,0,2,1560,0,-200,-3800
20210717,3211506,0,5,420,0,-500,-4300
20210718,10213605,0,1,320,0,-100,-4400
20210718,2211605,0,3,140,0,-300,-4700
20210718,3211605,0,0,310,0,0,-4700
20210718,3211606,0,1,250,0,-100,-4800
20210724,2211705,1,2,390,390,190,-4610
20210724,4213105,1,3,1550,1550,1250,-3360
20210724,4213106,0,3,630,0,-300,-3660
20210725,2211805,1,1,860,860,760,-2900
20210725,4213205,0,1,640,0,-100,-3000
20210725,4213206,0,2,3280,0,-200,-3200
20210731,2211905,0,0,310,0,0,-3200
20210731,4213305,0,0,360,0,0,-3200
20210731,4213306,0,1,770,0,-100,-3300
20210801,02211a05,0,0,600,0,0,-3300
20210801,4213405,0,2,140,0,-200,-3500
20210801,4213406,0,1,7550,0,-100,-3600
20210807,02211b05,0,0,360,0,0,-3600
20210807,4213505,0,1,170,0,-100,-3700
20210807,4213506,0,1,1640,0,-100,-3800
20210808,02211c05,0,0,2350,0,0,-3800
20210808,4213605,0,2,220,0,-200,-4000
20210808,4213606,0,3,140,0,-300,-4300
20210814,10214105,0,0,250,0,0,-4300
20210814,1212105,0,0,150,0,0,-4300
20210814,4214105,0,2,300,0,-200,-4500
20210814,4214106,0,1,6030,0,-100,-4600
20210815,10214205,0,1,3140,0,-100,-4700
20210815,1212205,0,0,220,0,0,-4700
20210815,4214205,1,1,10860,10860,10760,6060
20210821,10214305,0,1,5640,0,-100,5960
20210821,10214306,0,1,890,0,-100,5860
20210821,1212305,0,1,1680,0,-100,5760
20210821,4214305,0,3,240,0,-300,5460
20210822,10214405,0,0,2210,0,0,5460
20210822,1212405,0,2,1040,0,-200,5260
20210822,4214403,0,2,540,0,-200,5060
20210822,4214405,0,0,470,0,0,5060
20210828,10214505,0,3,630,0,-300,4760
20210828,1212505,1,2,1850,1850,1650,6410
20210828,4214505,0,1,460,0,-100,6310
20210828,4214506,0,1,140,0,-100,6210
20210829,10214605,0,0,710,0,0,6210
20210829,10214606,0,1,630,0,-100,6110
20210829,1212605,0,1,260,0,-100,6010
20210829,4214605,0,0,600,0,0,6010
20210829,4214606,0,3,1780,0,-300,5710
20210904,10214705,0,1,680,0,-100,5610
20210904,1212705,0,1,270,0,-100,5510
20210904,4214705,0,2,150,0,-200,5310
20210905,4214805,0,1,440,0,-100,5210
20210905,4214806,1,2,950,950,750,5960
20210905,10214805,0,1,170,0,-100,5860
20210911,6214104,0,2,810,0,-200,5660
20210911,6214105,0,0,3200,0,0,5660
20210911,7215104,0,0,300,0,0,5660
20210911,7215105,0,0,790,0,0,5660
20210912,6214203,0,2,820,0,-200,5460
20210912,6214205,0,2,320,0,-200,5260
20210912,7215203,0,3,250,0,-300,4960
20210912,7215205,0,1,150,0,-100,4860
20210918,6214304,0,2,2590,0,-200,4660
20210918,6214305,0,2,7070,0,-200,4460
20210918,7215304,0,3,220,0,-300,4160
20210918,7215305,0,3,190,0,-300,3860
20210919,6214404,0,1,750,0,-100,3760
20210919,6214405,0,2,280,0,-200,3560
20210919,7215405,0,0,170,0,0,3560
20210920,6214505,0,1,300,0,-100,3460
20210920,6214506,0,0,230,0,0,3460
20210920,7215504,0,2,1880,0,-200,3260
